Sub#,Cond,RT,ACC,Response Given,Correct Response
1,0,3.565035938,1,0,0
1,2,0.684749945,1,1,1
1,2,0.617137992,1,1,1
1,0,1.037299351,1,1,1
1,0,1.334101063,1,1,1
1,0,0.736342965,0,1,0
1,100,0.968362652,1,1,1
1,100,0.883907352,1,1,1
1,2,0.736432291,1,0,0
1,100,0.786364874,0,1,0
1,0,1.284050571,1,0,0
1,100,1.067306621,1,1,1
1,100,0.983951675,1,1,1
1,2,1.017290068,1,1,1
1,2,0.733852516,1,0,0
1,0,0.71718536,1,1,1
1,100,0.883906201,1,1,1
1,0,0.633812299,1,1,1
1,0,2.167714072,1,1,1
1,2,1.150681884,1,1,1
1,2,0.650495076,1,1,1
1,100,0.772200787,0,0,1
1,100,2.151045255,1,1,1
1,100,1.567495993,1,1,1
1,0,0.867234042,1,1,1
1,100,2.317776456,1,0,0
1,0,0.700511757,1,1,1
1,0,0.71718422,1,1,1
1,2,0.767199607,1,0,0
1,0,1.117334461,1,0,0
1,0,1.200688762,1,1,1
1,2,1.019814942,0,1,0
1,0,2.687093872,0,0,1
1,100,0.917271695,1,1,1
1,100,0.836108447,0,1,0
1,100,1.467463963,1,0,0
1,0,1.033964697,1,1,1
1,0,0.767205335,1,1,1
1,2,0.900593198,1,1,1
1,2,1.067313935,1,1,1
1,100,0.800542959,1,1,1
1,100,1.750890879,1,0,0
1,0,0.700507012,1,1,1
1,100,1.767613332,1,0,0
1,2,0.71719257,1,1,1
1,100,0.767206014,1,1,1
1,0,1.584213541,1,0,0
1,2,0.767198799,1,1,1
1,100,0.783876482,1,0,0
1,0,0.800546743,1,1,1
1,2,0.853081599,0,0,1
1,100,1.152850478,0,0,1
1,0,1.853128099,0,0,1
1,0,2.934681809,1,1,1
1,2,1.017297194,1,0,0
1,0,0.83389432,1,0,0
1,0,0.833889986,1,0,0
1,0,5.252194703,1,1,1
1,0,1.184026823,1,1,1
1,0,1.586318453,0,0,1
1,2,0.850570858,1,1,1
1,100,1.217370884,1,0,0
1,2,2.06769259,1,0,0
1,100,2.019820233,0,0,1
1,100,1.767574756,1,1,1
1,2,1.917630123,1,0,0
1,2,0.717181095,1,0,0
1,2,0.96948918,0,0,1
1,2,1.602962243,0,0,1
1,2,1.636370279,0,0,1
1,0,1.434115905,1,0,0
1,100,1.01729644,1,0,0
1,0,0.667151436,1,0,0
1,2,0.783877296,1,0,0
1,100,1.553001141,0,0,1
1,100,1.600848024,1,1,1
1,2,1.484136078,1,0,0
1,100,2.38446912,1,1,1
1,2,0.783869183,1,0,0
1,0,0.95060025,1,1,1
1,0,2.036506416,0,1,0
1,0,0.800547293,1,0,0
1,0,2.26988999,0,1,0
1,2,1.684207606,1,1,1
1,0,2.684593119,1,1,1
1,2,2.43448058,1,1,1
1,2,1.803053943,0,1,0
1,0,2.917991932,1,0,0
1,2,1.217450083,1,1,1
1,0,1.350748279,1,1,1
1,0,1.903126701,0,1,0
1,2,1.434122565,1,0,0
1,100,0.967273183,1,0,0
1,100,1.38409417,1,1,1
1,2,1.384093877,1,0,0
1,2,1.984332443,1,0,0
1,2,0.950598256,1,1,1
1,0,1.634183733,1,0,0
1,100,0.733854177,1,1,1
1,100,1.484118667,1,1,1
1,2,1.017293276,1,0,0
1,100,2.617891097,1,1,1
1,0,3.001363743,1,0,0
1,2,0.63382852,1,1,1
1,2,1.134009601,1,1,1
1,0,3.101395773,1,0,0
1,100,0.883915331,1,1,1
1,2,1.234038332,1,0,0
1,0,1.867605838,1,0,0
1,0,1.75089911,1,1,1
1,100,0.900581932,1,1,1
1,2,0.717191504,1,1,1
1,100,2.586723594,0,0,1
1,2,1.184023649,1,0,0
1,2,1.083991857,1,1,1
1,2,0.783795488,1,1,1
1,100,1.100668262,1,0,0
1,0,3.101398481,1,1,1
1,0,1.45080257,1,0,0
1,100,0.817217752,1,0,0
1,2,0.667160149,1,1,1
1,100,2.484518581,1,0,0
1,0,0.550456733,1,1,1
1,2,0.783879046,1,1,1
1,2,1.767572138,1,1,1
1,2,0.633834307,1,1,1
1,2,0.750537014,1,0,0
1,100,0.983953247,1,1,1
1,2,1.067309899,1,0,0
1,0,3.684941256,1,0,0
1,0,0.567124212,1,1,1
1,2,0.533790703,1,1,1
1,0,0.967269092,1,0,0
1,2,1.352931507,0,0,1
1,100,1.834267555,1,1,1
1,2,0.967276208,1,0,0
1,0,4.235156916,1,1,1
1,0,2.28442503,1,0,0
1,0,3.101395951,1,1,1
1,2,1.033969061,1,0,0
1,100,0.733857485,1,0,0
1,0,1.083985634,1,1,1
1,100,1.067375203,1,0,0
1,100,1.017288684,1,0,0
1,2,1.617520723,1,1,1
